Time(s)	C2H6	CH3J	C2H5J	CH4	HJ	C2H4	H2	C3H7J	C2H3J	C2H2	C4H7J	C4H7J	C4H6	
 0.14764E-05     0.89981E-05     0.46862E-08     0.43379E-09     0.98653E-09     0.32787E-09     0.11731E-07     0.11322E-07     0.12902E-13     0.57684E-12     0.15288E-10     0.44416E-16     0.22163E-15     0.72287E-15    
 0.15048E-05     0.89968E-05     0.47385E-08     0.44627E-09     0.10249E-08     0.33729E-09     0.12330E-07     0.11906E-07     0.13712E-13     0.61437E-12     0.16642E-10     0.49734E-16     0.24962E-15     0.83013E-15    
 0.15331E-05     0.89955E-05     0.47894E-08     0.45876E-09     0.10639E-08     0.34671E-09     0.12946E-07     0.12507E-07     0.14552E-13     0.65334E-12     0.18082E-10     0.55543E-16     0.28036E-15     0.95043E-15    
 0.15615E-05     0.89941E-05     0.48388E-08     0.47127E-09     0.11037E-08     0.35613E-09     0.13578E-07     0.13124E-07     0.15420E-13     0.69378E-12     0.19612E-10     0.61876E-16     0.31406E-15     0.10850E-14    
 0.15899E-05     0.89927E-05     0.48869E-08     0.48379E-09     0.11442E-08     0.36555E-09     0.14227E-07     0.13757E-07     0.16318E-13     0.73568E-12     0.21235E-10     0.68764E-16     0.35089E-15     0.12351E-14    
 0.16182E-05     0.89913E-05     0.49336E-08     0.49630E-09     0.11854E-08     0.37496E-09     0.14892E-07     0.14407E-07     0.17245E-13     0.77905E-12     0.22954E-10     0.76240E-16     0.39107E-15     0.14022E-14    
 0.16466E-05     0.89898E-05     0.49790E-08     0.50882E-09     0.12273E-08     0.38436E-09     0.15574E-07     0.15073E-07     0.18200E-13     0.82389E-12     0.24772E-10     0.84339E-16     0.43481E-15     0.15878E-14    
 0.16750E-05     0.89883E-05     0.50231E-08     0.52133E-09     0.12699E-08     0.39375E-09     0.16272E-07     0.15755E-07     0.19185E-13     0.87022E-12     0.26693E-10     0.93094E-16     0.48232E-15     0.17933E-14    
 0.17033E-05     0.89868E-05     0.50658E-08     0.53383E-09     0.13132E-08     0.40311E-09     0.16987E-07     0.16454E-07     0.20198E-13     0.91802E-12     0.28720E-10     0.10254E-15     0.53382E-15     0.20205E-14    
 0.17317E-05     0.89853E-05     0.51072E-08     0.54631E-09     0.13572E-08     0.41246E-09     0.17718E-07     0.17169E-07     0.21240E-13     0.96729E-12     0.30857E-10     0.11272E-15     0.58955E-15     0.22711E-14    
 0.17601E-05     0.89837E-05     0.51474E-08     0.55878E-09     0.14018E-08     0.42178E-09     0.18465E-07     0.17900E-07     0.22310E-13     0.10180E-11     0.33105E-10     0.12366E-15     0.64973E-15     0.25470E-14    
 0.17884E-05     0.89821E-05     0.51862E-08     0.57122E-09     0.14472E-08     0.43107E-09     0.19228E-07     0.18647E-07     0.23409E-13     0.10703E-11     0.35469E-10     0.13541E-15     0.71460E-15     0.28500E-14    
 0.18168E-05     0.89804E-05     0.52239E-08     0.58363E-09     0.14932E-08     0.44033E-09     0.20008E-07     0.19411E-07     0.24535E-13     0.11240E-11     0.37952E-10     0.14800E-15     0.78441E-15     0.31822E-14    
 0.18452E-05     0.89787E-05     0.52603E-08     0.59602E-09     0.15399E-08     0.44955E-09     0.20804E-07     0.20190E-07     0.25689E-13     0.11791E-11     0.40557E-10     0.16146E-15     0.85940E-15     0.35457E-14    
 0.18735E-05     0.89770E-05     0.52955E-08     0.60837E-09     0.15873E-08     0.45874E-09     0.21616E-07     0.20985E-07     0.26870E-13     0.12357E-11     0.43287E-10     0.17585E-15     0.93983E-15     0.39428E-14    
 0.19019E-05     0.89753E-05     0.53295E-08     0.62069E-09     0.16353E-08     0.46789E-09     0.22443E-07     0.21796E-07     0.28078E-13     0.12938E-11     0.46145E-10     0.19120E-15     0.10260E-14     0.43757E-14    
 0.19302E-05     0.89735E-05     0.53623E-08     0.63296E-09     0.16840E-08     0.47700E-09     0.23287E-07     0.22623E-07     0.29313E-13     0.13533E-11     0.49135E-10     0.20754E-15     0.11180E-14     0.48469E-14    
 0.19586E-05     0.89717E-05     0.53939E-08     0.64520E-09     0.17333E-08     0.48607E-09     0.24146E-07     0.23465E-07     0.30574E-13     0.14143E-11     0.52259E-10     0.22493E-15     0.12163E-14     0.53590E-14    
 0.19870E-05     0.89698E-05     0.54245E-08     0.65740E-09     0.17833E-08     0.49509E-09     0.25021E-07     0.24323E-07     0.31862E-13     0.14767E-11     0.55521E-10     0.24340E-15     0.13211E-14     0.59146E-14    
 0.20153E-05     0.89680E-05     0.54539E-08     0.66954E-09     0.18339E-08     0.50406E-09     0.25911E-07     0.25197E-07     0.33175E-13     0.15404E-11     0.58923E-10     0.26299E-15     0.14327E-14     0.65164E-14    
 0.20437E-05     0.89661E-05     0.54822E-08     0.68164E-09     0.18852E-08     0.51299E-09     0.26817E-07     0.26086E-07     0.34513E-13     0.16056E-11     0.62469E-10     0.28375E-15     0.15513E-14     0.71673E-14    
 0.20721E-05     0.89642E-05     0.55094E-08     0.69369E-09     0.19370E-08     0.52186E-09     0.27738E-07     0.26990E-07     0.35876E-13     0.16722E-11     0.66162E-10     0.30571E-15     0.16772E-14     0.78702E-14    
 0.21004E-05     0.89622E-05     0.55356E-08     0.70569E-09     0.19895E-08     0.53068E-09     0.28674E-07     0.27909E-07     0.37263E-13     0.17402E-11     0.70003E-10     0.32892E-15     0.18107E-14     0.86282E-14    
 0.21288E-05     0.89602E-05     0.55607E-08     0.71764E-09     0.20426E-08     0.53945E-09     0.29625E-07     0.28844E-07     0.38674E-13     0.18095E-11     0.73998E-10     0.35343E-15     0.19521E-14     0.94445E-14    
 0.21572E-05     0.89582E-05     0.55848E-08     0.72952E-09     0.20963E-08     0.54816E-09     0.30591E-07     0.29793E-07     0.40109E-13     0.18802E-11     0.78147E-10     0.37926E-15     0.21016E-14     0.10322E-13    
 0.21855E-05     0.89561E-05     0.56079E-08     0.74136E-09     0.21507E-08     0.55682E-09     0.31572E-07     0.30757E-07     0.41567E-13     0.19522E-11     0.82454E-10     0.40648E-15     0.22596E-14     0.11265E-13    
 0.22139E-05     0.89541E-05     0.56300E-08     0.75313E-09     0.22056E-08     0.56542E-09     0.32568E-07     0.31736E-07     0.43047E-13     0.20255E-11     0.86922E-10     0.43511E-15     0.24264E-14     0.12277E-13    
 0.22423E-05     0.89520E-05     0.56512E-08     0.76485E-09     0.22611E-08     0.57396E-09     0.33578E-07     0.32730E-07     0.44550E-13     0.21001E-11     0.91554E-10     0.46520E-15     0.26022E-14     0.13360E-13    
 0.22706E-05     0.89498E-05     0.56714E-08     0.77651E-09     0.23172E-08     0.58244E-09     0.34603E-07     0.33738E-07     0.46074E-13     0.21761E-11     0.96351E-10     0.49680E-15     0.27873E-14     0.14519E-13    
 0.22990E-05     0.89477E-05     0.56907E-08     0.78811E-09     0.23738E-08     0.59086E-09     0.35642E-07     0.34760E-07     0.47619E-13     0.22533E-11     0.10132E-09     0.52994E-15     0.29820E-14     0.15758E-13    
 0.23274E-05     0.89455E-05     0.57090E-08     0.79964E-09     0.24310E-08     0.59922E-09     0.36695E-07     0.35797E-07     0.49185E-13     0.23317E-11     0.10646E-09     0.56467E-15     0.31866E-14     0.17081E-13    
 0.23557E-05     0.89433E-05     0.57265E-08     0.81112E-09     0.24888E-08     0.60752E-09     0.37763E-07     0.36847E-07     0.50771E-13     0.24114E-11     0.11177E-09     0.60103E-15     0.34014E-14     0.18491E-13    
 0.23841E-05     0.89410E-05     0.57431E-08     0.82253E-09     0.25472E-08     0.61576E-09     0.38844E-07     0.37912E-07     0.52377E-13     0.24923E-11     0.11725E-09     0.63907E-15     0.36267E-14     0.19993E-13    
 0.24124E-05     0.89387E-05     0.57589E-08     0.83388E-09     0.26061E-08     0.62394E-09     0.39939E-07     0.38991E-07     0.54002E-13     0.25745E-11     0.12292E-09     0.67882E-15     0.38628E-14     0.21591E-13    
 0.24408E-05     0.89364E-05     0.57738E-08     0.84517E-09     0.26655E-08     0.63206E-09     0.41048E-07     0.40084E-07     0.55645E-13     0.26578E-11     0.12877E-09     0.72034E-15     0.41100E-14     0.23290E-13    
 0.24692E-05     0.89341E-05     0.57879E-08     0.85639E-09     0.27255E-08     0.64011E-09     0.42171E-07     0.41190E-07     0.57307E-13     0.27423E-11     0.13480E-09     0.76365E-15     0.43685E-14     0.25093E-13    
 0.24975E-05     0.89317E-05     0.58012E-08     0.86755E-09     0.27860E-08     0.64810E-09     0.43306E-07     0.42309E-07     0.58986E-13     0.28279E-11     0.14102E-09     0.80880E-15     0.46388E-14     0.27006E-13    
 0.25259E-05     0.89294E-05     0.58138E-08     0.87864E-09     0.28471E-08     0.65603E-09     0.44455E-07     0.43443E-07     0.60683E-13     0.29147E-11     0.14742E-09     0.85583E-15     0.49209E-14     0.29034E-13    
 0.25543E-05     0.89270E-05     0.58256E-08     0.88967E-09     0.29086E-08     0.66389E-09     0.45618E-07     0.44589E-07     0.62396E-13     0.30025E-11     0.15402E-09     0.90479E-15     0.52154E-14     0.31180E-13    
 0.25826E-05     0.89245E-05     0.58366E-08     0.90064E-09     0.29707E-08     0.67169E-09     0.46793E-07     0.45748E-07     0.64125E-13     0.30915E-11     0.16081E-09     0.95571E-15     0.55223E-14     0.33451E-13    
 0.26110E-05     0.89221E-05     0.58469E-08     0.91154E-09     0.30332E-08     0.67943E-09     0.47981E-07     0.46921E-07     0.65870E-13     0.31816E-11     0.16779E-09     0.10086E-14     0.58421E-14     0.35850E-13    
 0.26394E-05     0.89196E-05     0.58565E-08     0.92238E-09     0.30963E-08     0.68710E-09     0.49182E-07     0.48106E-07     0.67629E-13     0.32727E-11     0.17497E-09     0.10636E-14     0.61751E-14     0.38384E-13    
 0.26677E-05     0.89171E-05     0.58654E-08     0.93316E-09     0.31599E-08     0.69472E-09     0.50396E-07     0.49305E-07     0.69404E-13     0.33648E-11     0.18234E-09     0.11207E-14     0.65214E-14     0.41057E-13    
 0.26961E-05     0.89145E-05     0.58737E-08     0.94387E-09     0.32239E-08     0.70227E-09     0.51622E-07     0.50516E-07     0.71193E-13     0.34580E-11     0.18992E-09     0.11798E-14     0.68814E-14     0.43874E-13    
 0.27245E-05     0.89120E-05     0.58812E-08     0.95452E-09     0.32884E-08     0.70975E-09     0.52860E-07     0.51739E-07     0.72995E-13     0.35522E-11     0.19770E-09     0.12412E-14     0.72554E-14     0.46842E-13    
 0.27528E-05     0.89094E-05     0.58882E-08     0.96510E-09     0.33534E-08     0.71718E-09     0.54111E-07     0.52975E-07     0.74810E-13     0.36474E-11     0.20568E-09     0.13047E-14     0.76437E-14     0.49965E-13    
 0.27812E-05     0.89068E-05     0.58945E-08     0.97563E-09     0.34189E-08     0.72454E-09     0.55373E-07     0.54223E-07     0.76639E-13     0.37435E-11     0.21387E-09     0.13705E-14     0.80465E-14     0.53249E-13    
 0.28095E-05     0.89042E-05     0.59002E-08     0.98609E-09     0.34848E-08     0.73184E-09     0.56648E-07     0.55483E-07     0.78479E-13     0.38406E-11     0.22227E-09     0.14385E-14     0.84642E-14     0.56701E-13    
 0.28379E-05     0.89015E-05     0.59053E-08     0.99649E-09     0.35511E-08     0.73909E-09     0.57935E-07     0.56756E-07     0.80331E-13     0.39387E-11     0.23088E-09     0.15089E-14     0.88969E-14     0.60325E-13    
 0.28663E-05     0.88988E-05     0.59098E-08     0.10068E-08     0.36179E-08     0.74627E-09     0.59233E-07     0.58040E-07     0.82195E-13     0.40376E-11     0.23969E-09     0.15816E-14     0.93450E-14     0.64128E-13    
 0.28946E-05     0.88961E-05     0.59137E-08     0.10171E-08     0.36852E-08     0.75339E-09     0.60543E-07     0.59336E-07     0.84069E-13     0.41375E-11     0.24872E-09     0.16568E-14     0.98088E-14     0.68115E-13    
 0.29230E-05     0.88934E-05     0.59171E-08     0.10273E-08     0.37529E-08     0.76045E-09     0.61864E-07     0.60644E-07     0.85953E-13     0.42382E-11     0.25797E-09     0.17343E-14     0.10289E-13     0.72293E-13    
 0.29514E-05     0.88906E-05     0.59200E-08     0.10375E-08     0.38210E-08     0.76745E-09     0.63197E-07     0.61963E-07     0.87848E-13     0.43398E-11     0.26743E-09     0.18143E-14     0.10784E-13     0.76668E-13    
 0.29797E-05     0.88879E-05     0.59223E-08     0.10476E-08     0.38895E-08     0.77439E-09     0.64541E-07     0.63294E-07     0.89752E-13     0.44423E-11     0.27711E-09     0.18968E-14     0.11297E-13     0.81246E-13    
 0.30081E-05     0.88851E-05     0.59242E-08     0.10576E-08     0.39584E-08     0.78127E-09     0.65896E-07     0.64636E-07     0.91665E-13     0.45455E-11     0.28700E-09     0.19818E-14     0.11826E-13     0.86033E-13    
 0.30365E-05     0.88822E-05     0.59255E-08     0.10676E-08     0.40278E-08     0.78810E-09     0.67262E-07     0.65989E-07     0.93587E-13     0.46497E-11     0.29712E-09     0.20694E-14     0.12372E-13     0.91037E-13    
 0.30648E-05     0.88794E-05     0.59264E-08     0.10776E-08     0.40975E-08     0.79487E-09     0.68639E-07     0.67354E-07     0.95517E-13     0.47546E-11     0.30745E-09     0.21596E-14     0.12935E-13     0.96263E-13    
 0.30932E-05     0.88765E-05     0.59268E-08     0.10874E-08     0.41677E-08     0.80158E-09     0.70026E-07     0.68729E-07     0.97454E-13     0.48603E-11     0.31801E-09     0.22525E-14     0.13516E-13     0.10172E-12    
 0.31216E-05     0.88737E-05     0.59267E-08     0.10973E-08     0.42382E-08     0.80823E-09     0.71424E-07     0.70115E-07     0.99400E-13     0.49667E-11     0.32880E-09     0.23480E-14     0.14115E-13     0.10741E-12    
 0.31499E-05     0.88708E-05     0.59262E-08     0.11070E-08     0.43091E-08     0.81483E-09     0.72833E-07     0.71512E-07     0.10135E-12     0.50739E-11     0.33980E-09     0.24462E-14     0.14732E-13     0.11334E-12    
 0.31783E-05     0.88678E-05     0.59252E-08     0.11167E-08     0.43805E-08     0.82138E-09     0.74252E-07     0.72920E-07     0.10331E-12     0.51819E-11     0.35104E-09     0.25471E-14     0.15367E-13     0.11952E-12    
 0.32067E-05     0.88649E-05     0.59239E-08     0.11264E-08     0.44521E-08     0.82787E-09     0.75681E-07     0.74338E-07     0.10528E-12     0.52906E-11     0.36250E-09     0.26508E-14     0.16021E-13     0.12596E-12    
 0.32350E-05     0.88619E-05     0.59221E-08     0.11360E-08     0.45242E-08     0.83431E-09     0.77121E-07     0.75767E-07     0.10725E-12     0.54000E-11     0.37419E-09     0.27573E-14     0.16693E-13     0.13267E-12    
 0.32634E-05     0.88589E-05     0.59200E-08     0.11456E-08     0.45966E-08     0.84069E-09     0.78570E-07     0.77206E-07     0.10922E-12     0.55101E-11     0.38611E-09     0.28667E-14     0.17384E-13     0.13964E-12    
 0.32917E-05     0.88559E-05     0.59174E-08     0.11551E-08     0.46694E-08     0.84702E-09     0.80030E-07     0.78655E-07     0.11120E-12     0.56208E-11     0.39826E-09     0.29789E-14     0.18095E-13     0.14689E-12    
 0.33201E-05     0.88529E-05     0.59145E-08     0.11645E-08     0.47425E-08     0.85330E-09     0.81499E-07     0.80114E-07     0.11319E-12     0.57323E-11     0.41064E-09     0.30939E-14     0.18826E-13     0.15442E-12    
 0.33485E-05     0.88499E-05     0.59112E-08     0.11739E-08     0.48159E-08     0.85953E-09     0.82978E-07     0.81583E-07     0.11518E-12     0.58444E-11     0.42325E-09     0.32119E-14     0.19576E-13     0.16225E-12    
 0.33768E-05     0.88468E-05     0.59076E-08     0.11833E-08     0.48897E-08     0.86571E-09     0.84467E-07     0.83063E-07     0.11718E-12     0.59571E-11     0.43610E-09     0.33329E-14     0.20346E-13     0.17038E-12    
 0.34052E-05     0.88437E-05     0.59036E-08     0.11926E-08     0.49639E-08     0.87184E-09     0.85965E-07     0.84552E-07     0.11917E-12     0.60705E-11     0.44918E-09     0.34568E-14     0.21136E-13     0.17881E-12    
 0.34336E-05     0.88406E-05     0.58993E-08     0.12019E-08     0.50384E-08     0.87791E-09     0.87473E-07     0.86050E-07     0.12118E-12     0.61845E-11     0.46249E-09     0.35838E-14     0.21947E-13     0.18756E-12    
 0.34619E-05     0.88375E-05     0.58947E-08     0.12111E-08     0.51132E-08     0.88394E-09     0.88989E-07     0.87559E-07     0.12318E-12     0.62991E-11     0.47604E-09     0.37138E-14     0.22779E-13     0.19663E-12    
 0.34903E-05     0.88343E-05     0.58897E-08     0.12203E-08     0.51883E-08     0.88992E-09     0.90516E-07     0.89077E-07     0.12519E-12     0.64143E-11     0.48983E-09     0.38468E-14     0.23632E-13     0.20603E-12    
 0.35187E-05     0.88312E-05     0.58845E-08     0.12294E-08     0.52637E-08     0.89586E-09     0.92051E-07     0.90604E-07     0.12720E-12     0.65301E-11     0.50385E-09     0.39830E-14     0.24506E-13     0.21576E-12    
 0.35470E-05     0.88280E-05     0.58790E-08     0.12385E-08     0.53395E-08     0.90175E-09     0.93595E-07     0.92140E-07     0.12921E-12     0.66464E-11     0.51811E-09     0.41223E-14     0.25401E-13     0.22584E-12    
 0.35754E-05     0.88248E-05     0.58732E-08     0.12475E-08     0.54155E-08     0.90759E-09     0.95148E-07     0.93686E-07     0.13123E-12     0.67633E-11     0.53261E-09     0.42647E-14     0.26318E-13     0.23628E-12    
 0.36038E-05     0.88216E-05     0.58671E-08     0.12565E-08     0.54919E-08     0.91338E-09     0.96710E-07     0.95241E-07     0.13324E-12     0.68808E-11     0.54735E-09     0.44103E-14     0.27257E-13     0.24707E-12    
 0.36293E-05     0.88187E-05     0.58614E-08     0.12646E-08     0.55609E-08     0.91856E-09     0.98123E-07     0.96648E-07     0.13506E-12     0.69870E-11     0.56082E-09     0.45441E-14     0.28121E-13     0.25711E-12    
 0.36548E-05     0.88157E-05     0.58554E-08     0.12726E-08     0.56301E-08     0.92370E-09     0.99543E-07     0.98063E-07     0.13687E-12     0.70935E-11     0.57449E-09     0.46805E-14     0.29003E-13     0.26744E-12    
 0.36803E-05     0.88128E-05     0.58493E-08     0.12806E-08     0.56995E-08     0.92880E-09     0.10097E-06     0.99484E-07     0.13869E-12     0.72006E-11     0.58835E-09     0.48195E-14     0.29903E-13     0.27809E-12    
 0.37059E-05     0.88098E-05     0.58430E-08     0.12886E-08     0.57692E-08     0.93387E-09     0.10240E-06     0.10091E-06     0.14051E-12     0.73080E-11     0.60240E-09     0.49612E-14     0.30822E-13     0.28905E-12    
 0.37314E-05     0.88069E-05     0.58365E-08     0.12965E-08     0.58391E-08     0.93891E-09     0.10384E-06     0.10235E-06     0.14233E-12     0.74158E-11     0.61665E-09     0.51055E-14     0.31759E-13     0.30033E-12    
 0.37544E-05     0.88042E-05     0.58304E-08     0.13036E-08     0.59022E-08     0.94341E-09     0.10515E-06     0.10365E-06     0.14396E-12     0.75132E-11     0.62964E-09     0.52377E-14     0.32619E-13     0.31077E-12    
 0.37774E-05     0.88015E-05     0.58243E-08     0.13107E-08     0.59655E-08     0.94789E-09     0.10645E-06     0.10495E-06     0.14560E-12     0.76109E-11     0.64280E-09     0.53721E-14     0.33494E-13     0.32148E-12    
 0.38003E-05     0.87988E-05     0.58180E-08     0.13178E-08     0.60289E-08     0.95233E-09     0.10777E-06     0.10626E-06     0.14724E-12     0.77090E-11     0.65611E-09     0.55087E-14     0.34384E-13     0.33246E-12    
 0.38233E-05     0.87961E-05     0.58115E-08     0.13248E-08     0.60926E-08     0.95676E-09     0.10909E-06     0.10758E-06     0.14887E-12     0.78073E-11     0.66958E-09     0.56476E-14     0.35290E-13     0.34372E-12    
 0.38463E-05     0.87934E-05     0.58049E-08     0.13319E-08     0.61564E-08     0.96115E-09     0.11041E-06     0.10890E-06     0.15051E-12     0.79059E-11     0.68321E-09     0.57886E-14     0.36211E-13     0.35526E-12    
 0.38670E-05     0.87909E-05     0.57989E-08     0.13382E-08     0.62139E-08     0.96508E-09     0.11160E-06     0.11009E-06     0.15198E-12     0.79950E-11     0.69561E-09     0.59175E-14     0.37054E-13     0.36590E-12    
 0.38876E-05     0.87884E-05     0.57927E-08     0.13444E-08     0.62716E-08     0.96899E-09     0.11280E-06     0.11129E-06     0.15345E-12     0.80842E-11     0.70814E-09     0.60482E-14     0.37910E-13     0.37677E-12    
 0.39083E-05     0.87859E-05     0.57865E-08     0.13507E-08     0.63295E-08     0.97288E-09     0.11401E-06     0.11249E-06     0.15492E-12     0.81737E-11     0.72081E-09     0.61807E-14     0.38778E-13     0.38789E-12    
 0.39290E-05     0.87835E-05     0.57801E-08     0.13569E-08     0.63874E-08     0.97675E-09     0.11522E-06     0.11369E-06     0.15639E-12     0.82635E-11     0.73360E-09     0.63151E-14     0.39660E-13     0.39924E-12    
 0.39497E-05     0.87810E-05     0.57737E-08     0.13632E-08     0.64456E-08     0.98060E-09     0.11643E-06     0.11490E-06     0.15786E-12     0.83534E-11     0.74652E-09     0.64513E-14     0.40555E-13     0.41085E-12    
 0.39703E-05     0.87785E-05     0.57671E-08     0.13694E-08     0.65038E-08     0.98443E-09     0.11765E-06     0.11612E-06     0.15933E-12     0.84436E-11     0.75957E-09     0.65894E-14     0.41462E-13     0.42270E-12    
 0.39910E-05     0.87759E-05     0.57605E-08     0.13756E-08     0.65622E-08     0.98824E-09     0.11887E-06     0.11734E-06     0.16080E-12     0.85341E-11     0.77276E-09     0.67294E-14     0.42383E-13     0.43480E-12    
 0.40117E-05     0.87734E-05     0.57538E-08     0.13817E-08     0.66206E-08     0.99203E-09     0.12009E-06     0.11856E-06     0.16226E-12     0.86247E-11     0.78607E-09     0.68713E-14     0.43318E-13     0.44717E-12    
 0.40324E-05     0.87709E-05     0.57470E-08     0.13879E-08     0.66793E-08     0.99580E-09     0.12132E-06     0.11979E-06     0.16373E-12     0.87156E-11     0.79951E-09     0.70150E-14     0.44265E-13     0.45979E-12    
 0.40531E-05     0.87683E-05     0.57401E-08     0.13941E-08     0.67380E-08     0.99955E-09     0.12255E-06     0.12102E-06     0.16519E-12     0.88066E-11     0.81308E-09     0.71606E-14     0.45227E-13     0.47268E-12    
 0.40737E-05     0.87658E-05     0.57331E-08     0.14002E-08     0.67969E-08     0.10033E-08     0.12379E-06     0.12225E-06     0.16666E-12     0.88979E-11     0.82679E-09     0.73082E-14     0.46202E-13     0.48583E-12    
 0.40944E-05     0.87632E-05     0.57260E-08     0.14063E-08     0.68558E-08     0.10070E-08     0.12503E-06     0.12349E-06     0.16812E-12     0.89894E-11     0.84062E-09     0.74576E-14     0.47190E-13     0.49925E-12    
 0.41151E-05     0.87607E-05     0.57189E-08     0.14124E-08     0.69149E-08     0.10107E-08     0.12627E-06     0.12474E-06     0.16958E-12     0.90811E-11     0.85459E-09     0.76090E-14     0.48192E-13     0.51295E-12    
 0.41358E-05     0.87581E-05     0.57117E-08     0.14185E-08     0.69742E-08     0.10144E-08     0.12752E-06     0.12599E-06     0.17104E-12     0.91730E-11     0.86868E-09     0.77623E-14     0.49208E-13     0.52692E-12    
 0.41564E-05     0.87555E-05     0.57044E-08     0.14245E-08     0.70335E-08     0.10180E-08     0.12877E-06     0.12724E-06     0.17250E-12     0.92651E-11     0.88291E-09     0.79175E-14     0.50238E-13     0.54118E-12    
 0.41771E-05     0.87529E-05     0.56970E-08     0.14306E-08     0.70930E-08     0.10217E-08     0.13002E-06     0.12849E-06     0.17396E-12     0.93574E-11     0.89727E-09     0.80747E-14     0.51282E-13     0.55572E-12    
 0.41978E-05     0.87503E-05     0.56896E-08     0.14366E-08     0.71525E-08     0.10253E-08     0.13128E-06     0.12975E-06     0.17541E-12     0.94499E-11     0.91176E-09     0.82339E-14     0.52340E-13     0.57054E-12    
 0.42185E-05     0.87477E-05     0.56821E-08     0.14426E-08     0.72122E-08     0.10289E-08     0.13255E-06     0.13102E-06     0.17687E-12     0.95426E-11     0.92637E-09     0.83950E-14     0.53412E-13     0.58566E-12    
 0.42392E-05     0.87451E-05     0.56745E-08     0.14486E-08     0.72720E-08     0.10325E-08     0.13381E-06     0.13228E-06     0.17832E-12     0.96355E-11     0.94112E-09     0.85581E-14     0.54498E-13     0.60107E-12    
 0.42598E-05     0.87425E-05     0.56669E-08     0.14546E-08     0.73319E-08     0.10360E-08     0.13508E-06     0.13355E-06     0.17977E-12     0.97286E-11     0.95601E-09     0.87232E-14     0.55598E-13     0.61678E-12    
 0.42805E-05     0.87399E-05     0.56592E-08     0.14606E-08     0.73919E-08     0.10396E-08     0.13636E-06     0.13483E-06     0.18122E-12     0.98219E-11     0.97102E-09     0.88902E-14     0.56713E-13     0.63280E-12    
 0.43012E-05     0.87373E-05     0.56514E-08     0.14665E-08     0.74520E-08     0.10431E-08     0.13763E-06     0.13611E-06     0.18266E-12     0.99154E-11     0.98616E-09     0.90593E-14     0.57842E-13     0.64911E-12    
 0.43179E-05     0.87351E-05     0.56451E-08     0.14714E-08     0.75006E-08     0.10459E-08     0.13867E-06     0.13714E-06     0.18383E-12     0.99910E-11     0.99849E-09     0.91973E-14     0.58765E-13     0.66252E-12    
 0.43346E-05     0.87330E-05     0.56388E-08     0.14761E-08     0.75493E-08     0.10488E-08     0.13970E-06     0.13818E-06     0.18500E-12     0.10067E-10     0.10109E-08     0.93366E-14     0.59697E-13     0.67612E-12    
 0.43513E-05     0.87309E-05     0.56324E-08     0.14809E-08     0.75981E-08     0.10516E-08     0.14074E-06     0.13922E-06     0.18616E-12     0.10143E-10     0.10234E-08     0.94772E-14     0.60638E-13     0.68993E-12    
 0.43743E-05     0.87279E-05     0.56236E-08     0.14875E-08     0.76653E-08     0.10554E-08     0.14217E-06     0.14066E-06     0.18776E-12     0.10247E-10     0.10407E-08     0.96728E-14     0.61949E-13     0.70927E-12    
 0.43972E-05     0.87249E-05     0.56146E-08     0.14941E-08     0.77326E-08     0.10593E-08     0.14361E-06     0.14210E-06     0.18936E-12     0.10352E-10     0.10582E-08     0.98709E-14     0.63278E-13     0.72900E-12    
 0.44202E-05     0.87220E-05     0.56057E-08     0.15006E-08     0.78001E-08     0.10631E-08     0.14505E-06     0.14354E-06     0.19095E-12     0.10457E-10     0.10759E-08     0.10072E-13     0.64626E-13     0.74914E-12    
 0.44432E-05     0.87190E-05     0.55966E-08     0.15071E-08     0.78676E-08     0.10669E-08     0.14650E-06     0.14499E-06     0.19254E-12     0.10562E-10     0.10937E-08     0.10275E-13     0.65991E-13     0.76968E-12    
 0.44661E-05     0.87160E-05     0.55875E-08     0.15136E-08     0.79353E-08     0.10707E-08     0.14795E-06     0.14644E-06     0.19413E-12     0.10667E-10     0.11117E-08     0.10480E-13     0.67376E-13     0.79063E-12    
 0.44891E-05     0.87130E-05     0.55784E-08     0.15201E-08     0.80031E-08     0.10744E-08     0.14940E-06     0.14790E-06     0.19572E-12     0.10773E-10     0.11298E-08     0.10689E-13     0.68779E-13     0.81200E-12    
 0.45121E-05     0.87100E-05     0.55692E-08     0.15266E-08     0.80710E-08     0.10782E-08     0.15086E-06     0.14936E-06     0.19730E-12     0.10879E-10     0.11481E-08     0.10899E-13     0.70200E-13     0.83379E-12    
 0.45351E-05     0.87070E-05     0.55599E-08     0.15331E-08     0.81391E-08     0.10819E-08     0.15232E-06     0.15083E-06     0.19888E-12     0.10985E-10     0.11665E-08     0.11113E-13     0.71641E-13     0.85601E-12    
 0.45580E-05     0.87039E-05     0.55506E-08     0.15395E-08     0.82072E-08     0.10856E-08     0.15378E-06     0.15230E-06     0.20046E-12     0.11091E-10     0.11852E-08     0.11329E-13     0.73100E-13     0.87865E-12    
 0.45810E-05     0.87009E-05     0.55412E-08     0.15459E-08     0.82755E-08     0.10893E-08     0.15525E-06     0.15377E-06     0.20204E-12     0.11197E-10     0.12039E-08     0.11547E-13     0.74579E-13     0.90174E-12    
 0.46040E-05     0.86979E-05     0.55318E-08     0.15524E-08     0.83438E-08     0.10929E-08     0.15673E-06     0.15525E-06     0.20361E-12     0.11304E-10     0.12229E-08     0.11768E-13     0.76076E-13     0.92526E-12    
